crate,incom,hs,Urb
104,22.1,82.7,73.2
20,25.8,64.1,21.5
64,24.7,74.7,85
50,24.6,65,23.2
64,30.5,82.3,91.9
94,30.6,76.8,98.9
8,18.6,55.9,0
35,25.7,75.7,80.2
27,21.3,68.6,31
41,34.9,81.2,65.8
55,34,79,77.6
69,22,69,31.1
128,26.9,65,98.8
69,21,54.5,44.6
49,15.4,57.7,0
97,28.5,76.9,98.8
70,25.2,76.2,85.9
34,28.6,78.7,63.1
37,17.2,59.5,30.2
52,20,59.9,28.8
15,20.6,63,0
62,20.7,57.4,0
19,21.9,66.4,35.2
6,18.7,58.4,0
57,22.1,54.8,16.7
47,24.9,56.6,44.7
44,22.7,70.5,61.3
56,21.1,68.2,24.8
110,28.5,75.6,89.2
5,17.2,57.1,16.8
58,29,76.5,83
32,19.5,61.6,21.7
36,21.8,64.1,22.3
0,20.7,58.2,0
42,23.4,70.6,43.2
59,28.4,76.9,86.1
107,27.3,84.9,82.5
45,18.8,62.8,0
8,22.3,56.7,0
26,18.2,56.5,20.3
79,26,75.6,88.7
64,22.5,69.6,39.6
53,31.8,79.7,83.2
89,29.4,79.7,73.2
42,30.2,71.2,44.9
37,27.9,83.8,84
51,21.4,59.1,30.1
93,30.3,78.8,93.1
78,27.3,73.7,66.4
90,32.5,78.8,94.7
42,21.5,66.9,67.4
70,26.3,78.1,99.6
84,25.2,68,70.3
83,20.2,64.3,15.7
43,27.6,79.9,57.2
58,29.9,71.7,92.1
56,35.6,78.5,44.4
54,29.9,81.3,93.2
58,27.7,84.6,92.8
37,19.6,64.3,19.3
37,19.8,63.8,23.6
76,21.4,62.1,41.8
6,22.8,67.7,0
62,24.8,75.4,83.9
29,25,71.6,0
18,21.9,66.5,20.9
21,18.3,60.9,22.9
